ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rent_lag1,rent_lag1_lower,rent_lag1_upper,rent_lag3,rent_lag3_lower,rent_lag3_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,zorf_growth_pct,zorf_growth_pct_lower,zorf_growth_pct_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-10-31,2064.652410713622,2040.9462985591256,2496.248877141054,2064.652410713622,2064.652410713622,206.97229527484382,206.97229527484382,206.97229527484382,158.83343204124589,158.83343204124589,158.83343204124589,-929.2221511286994,-929.2221511286994,-929.2221511286994,1255.066032240469,1255.066032240469,1255.066032240469,-167.01044907052375,-167.01044907052375,-167.01044907052375,48.1388632335979,48.1388632335979,48.1388632335979,0.0,0.0,0.0,0.0,0.0,0.0,2271.624705988466
2021-11-30,2072.9071388153825,2006.9974847949327,2463.240085703711,2072.9071388153825,2072.9071388153825,168.0471152160725,168.0471152160725,168.0471152160725,160.9987128716787,160.9987128716787,160.9987128716787,-935.3969698921742,-935.3969698921742,-935.3969698921742,1263.4061318343768,1263.4061318343768,1263.4061318343768,-167.01044907052375,-167.01044907052375,-167.01044907052375,7.048402344393823,7.048402344393823,7.048402344393823,0.0,0.0,0.0,0.0,0.0,0.0,2240.954254031455
2021-12-31,2081.437024520535,2021.239782495928,2490.4131972331033,2081.437024520535,2081.437024520535,181.8269230822889,181.8269230822889,181.8269230822889,163.17838231379454,163.17838231379454,163.17838231379454,-941.6128212405002,-941.6128212405002,-941.6128212405002,1271.8016526248184,1271.8016526248184,1271.8016526248184,-167.01044907052375,-167.01044907052375,-167.01044907052375,18.648540768494392,18.648540768494392,18.648540768494392,0.0,0.0,0.0,0.0,0.0,0.0,2263.263947602824
2022-01-31,2089.9669102256876,1849.9895945949809,2322.9974461362594,2089.9669102256876,2089.9669102256876,0.5418997364210784,0.5418997364210784,0.5418997364210784,165.37253598204853,165.37253598204853,165.37253598204853,-947.8699778412783,-947.8699778412783,-947.8699778412783,1280.2529628938507,1280.2529628938507,1280.2529628938507,-167.01044907052375,-167.01044907052375,-167.01044907052375,-164.83063624562746,-164.83063624562746,-164.83063624562746,0.0,0.0,0.0,0.0,0.0,0.0,2090.5088099621084
2022-02-28,2097.0285614304307,1860.8015430165617,2316.4706602637484,2097.0285614304307,2097.0285614304307,-3.9293206590674283,-3.9293206590674283,-3.9293206590674283,167.5812701262671,167.5812701262671,167.5812701262671,-954.1687141740267,-954.1687141740267,-954.1687141740267,1288.7604333708175,1288.7604333708175,1288.7604333708175,-167.01044907052375,-167.01044907052375,-167.01044907052375,-171.51059078533453,-171.51059078533453,-171.51059078533453,0.0,0.0,0.0,0.0,0.0,0.0,2093.0992407713634
2022-03-31,2104.846818121396,1911.6510190159172,2377.2823504920766,2104.846818121396,2104.846818121396,43.64275714329151,43.64275714329151,43.64275714329151,169.80468163587227,169.80468163587227,169.80468163587227,-960.5093065422196,-960.5093065422196,-960.5093065422196,1297.3244372486158,1297.3244372486158,1297.3244372486158,-167.01044907052375,-167.01044907052375,-167.01044907052375,-126.16192449258075,-126.16192449258075,-126.16192449258075,0.0,0.0,0.0,0.0,0.0,0.0,2148.4895752646876
2022-04-30,2112.4128729836207,2209.7343417342868,2663.2412185579838,2112.4128729836207,2112.4128729836207,321.95698206637275,321.95698206637275,321.95698206637275,172.0428680441299,172.0428680441299,172.0428680441299,-966.8920330854095,-966.8920330854095,-966.8920330854095,1305.945350200063,1305.945350200063,1305.945350200063,-167.01044907052375,-167.01044907052375,-167.01044907052375,149.91411402224284,149.91411402224284,149.91411402224284,0.0,0.0,0.0,0.0,0.0,0.0,2434.3698550499935
2022-05-31,2120.2311296745856,2220.9197141441064,2688.6924783539353,2120.2311296745856,2120.2311296745856,344.3891217094201,344.3891217094201,344.3891217094201,174.2959275324285,174.2959275324285,174.2959275324285,-973.3171737914272,-973.3171737914272,-973.3171737914272,1314.6235503943794,1314.6235503943794,1314.6235503943794,-167.01044907052375,-167.01044907052375,-167.01044907052375,170.09319417699163,170.09319417699163,170.09319417699163,0.0,0.0,0.0,0.0,0.0,0.0,2464.6202513840058
2022-06-30,2127.79718453681,2106.4037290389447,2555.3138683054826,2127.79718453681,2127.79718453681,207.61075633515406,207.61075633515406,207.61075633515406,176.56395893458756,176.56395893458756,176.56395893458756,-979.7850105086635,-979.7850105086635,-979.7850105086635,1323.3594185137747,1323.3594185137747,1323.3594185137747,-167.01044907052375,-167.01044907052375,-167.01044907052375,31.04679740056651,31.04679740056651,31.04679740056651,0.0,0.0,0.0,0.0,0.0,0.0,2335.4079408719645
2022-07-31,2134.805690955082,2110.8740079753234,2575.503104894777,2134.805690955082,2134.805690955082,205.66023079394805,205.66023079394805,205.66023079394805,178.84706174119097,178.84706174119097,178.84706174119097,-986.2958269584343,-986.2958269584343,-986.2958269584343,1332.1533377701492,1332.1533377701492,1332.1533377701492,-167.01044907052375,-167.01044907052375,-167.01044907052375,26.813169052757093,26.813169052757093,26.813169052757093,0.0,0.0,0.0,0.0,0.0,0.0,2340.46592174903
